,Trial,Size,Comparisons,Swaps,QuickSort duration
204,2.0,500.0,2556.0,2891.0,0.024718046188354492
205,2.0,600.0,2987.0,3382.0,0.02550983428955078
206,2.0,700.0,4084.0,4551.0,0.04243302345275879
207,2.0,800.0,3560.0,4097.0,0.03772997856140137
208,2.0,900.0,5403.0,5989.0,0.050151824951171875
209,2.0,1000.0,6641.0,7312.0,0.06493115425109863
210,2.0,1100.0,6265.0,7003.0,0.06409287452697754
211,2.0,1200.0,6490.0,7298.0,0.07105684280395508
212,2.0,1300.0,6465.0,7343.0,0.06086921691894531
213,2.0,1400.0,8674.0,9604.0,0.07883882522583008
214,2.0,1500.0,8654.0,9643.0,0.08777499198913574
215,2.0,1600.0,9441.0,10503.0,0.10555481910705566
216,2.0,1700.0,10041.0,11185.0,0.10171079635620117
217,2.0,1800.0,9712.0,10918.0,0.1045680046081543
218,2.0,1900.0,12147.0,13400.0,0.1163930892944336
219,2.0,2000.0,11202.0,12556.0,0.10815620422363281
220,2.0,2100.0,12461.0,13875.0,0.12868809700012207
221,2.0,2200.0,13346.0,14795.0,0.1192779541015625
222,2.0,2300.0,14528.0,16061.0,0.14551496505737305
223,2.0,2400.0,13567.0,15153.0,0.13547420501708984
224,2.0,2500.0,13963.0,15636.0,0.1451420783996582
225,2.0,2600.0,15460.0,17197.0,0.15359210968017578
226,2.0,2700.0,17651.0,19447.0,0.21463894844055176
227,2.0,2800.0,19292.0,21155.0,0.22693991661071777
228,2.0,2900.0,16539.0,18483.0,0.1913619041442871
229,2.0,3000.0,25208.0,27215.0,0.321580171585083
230,2.0,3100.0,18916.0,20981.0,0.23765301704406738
231,2.0,3200.0,19968.0,22096.0,0.24457025527954102
232,2.0,3300.0,21028.0,23244.0,0.24598312377929688
233,2.0,3400.0,21456.0,23741.0,0.2591707706451416
234,2.0,3500.0,23462.0,25815.0,0.283480167388916
235,2.0,3600.0,22717.0,25116.0,0.2514791488647461
236,2.0,3700.0,23615.0,26076.0,0.27135705947875977
237,2.0,3800.0,26340.0,28887.0,0.6125860214233398
238,2.0,3900.0,26261.0,28841.0,0.441403865814209
239,2.0,4000.0,28701.0,31369.0,0.42923808097839355
240,2.0,4100.0,28255.0,30985.0,0.344771146774292
241,2.0,4200.0,28018.0,30820.0,0.3687260150909424
242,2.0,4300.0,27705.0,30559.0,0.339465856552124
243,2.0,4400.0,29123.0,32080.0,0.2990078926086426
