,Trial,Size,Comparisons,Swaps,Merge duration
256,2.0,5700.0,34452.0,40151.0,0.408447265625
257,2.0,5800.0,35140.0,40939.0,0.5181450843811035
258,2.0,5900.0,35908.0,41807.0,0.6241719722747803
259,2.0,6000.0,36656.0,42655.0,0.4894590377807617
260,2.0,6100.0,37472.0,43571.0,0.4412050247192383
261,2.0,6200.0,38156.0,44355.0,0.444033145904541
262,2.0,6300.0,38740.0,45039.0,0.42482829093933105
263,2.0,6400.0,39424.0,45823.0,0.44605302810668945
264,2.0,6500.0,40040.0,46539.0,0.4458160400390625
265,2.0,6600.0,40756.0,47355.0,0.44241786003112793
266,2.0,6700.0,41460.0,48159.0,0.44706201553344727
267,2.0,6800.0,42144.0,48943.0,0.4544699192047119
268,2.0,6900.0,42896.0,49795.0,0.5326023101806641
269,2.0,7000.0,43628.0,50627.0,0.6429932117462158
270,2.0,7100.0,44440.0,51539.0,0.6643450260162354
271,2.0,7200.0,45232.0,52431.0,0.6453869342803955
272,2.0,7300.0,45908.0,53207.0,0.5373721122741699
273,2.0,7400.0,46636.0,54035.0,0.5295062065124512
274,2.0,7500.0,47376.0,54875.0,0.7627260684967041
275,2.0,7600.0,48176.0,55775.0,0.72562575340271
276,2.0,7700.0,49016.0,56715.0,0.6765341758728027
277,2.0,7800.0,49780.0,57579.0,0.6687719821929932
278,2.0,7900.0,50600.0,58499.0,0.6861481666564941
279,2.0,8000.0,51456.0,59455.0,0.6379761695861816
280,2.0,8100.0,52336.0,60435.0,0.6378040313720703
281,2.0,8200.0,53268.0,61467.0,0.5969719886779785
282,2.0,8300.0,53704.0,62003.0,0.5782990455627441
283,2.0,8400.0,54224.0,62623.0,0.6013140678405762
284,2.0,8500.0,54772.0,63271.0,0.7073562145233154
285,2.0,8600.0,55356.0,63955.0,0.7060143947601318
286,2.0,8700.0,56028.0,64727.0,0.7791800498962402
287,2.0,8800.0,56560.0,65359.0,0.6590309143066406
288,2.0,8900.0,57172.0,66071.0,0.6289148330688477
289,2.0,9000.0,57820.0,66819.0,0.712770938873291
290,2.0,9100.0,58500.0,67599.0,0.6619651317596436
291,2.0,9200.0,59248.0,68447.0,0.784372091293335
292,2.0,9300.0,59812.0,69111.0,0.7933640480041504
293,2.0,9400.0,60420.0,69819.0,0.8801858425140381
294,2.0,9500.0,61076.0,70575.0,0.8002700805664062
295,2.0,9600.0,61760.0,71359.0,0.6713190078735352
296,2.0,9700.0,62476.0,72175.0,0.677746057510376
297,2.0,9800.0,63148.0,72947.0,0.7134678363800049
298,2.0,9900.0,63840.0,73739.0,0.7186141014099121
299,2.0,10000.0,64608.0,74607.0,0.7215366363525391
300,3.0,100.0,316.0,415.0,0.0051310062408447266
301,3.0,200.0,732.0,931.0,0.007966041564941406
302,3.0,300.0,1180.0,1479.0,0.013074874877929688
303,3.0,400.0,1664.0,2063.0,0.017232894897460938
304,3.0,500.0,2216.0,2715.0,0.024635791778564453
305,3.0,600.0,2660.0,3259.0,0.02697277069091797
306,3.0,700.0,3172.0,3871.0,0.03421783447265625
307,3.0,800.0,3728.0,4527.0,0.05335211753845215
308,3.0,900.0,4304.0,5203.0,0.04537200927734375
309,3.0,1000.0,4932.0,5931.0,0.055918216705322266
310,3.0,1100.0,5420.0,6519.0,0.06975984573364258
311,3.0,1200.0,5920.0,7119.0,0.0654902458190918
312,3.0,1300.0,6480.0,7779.0,0.07494592666625977
313,3.0,1400.0,7044.0,8443.0,0.07943320274353027
314,3.0,1500.0,7664.0,9163.0,0.0849759578704834
315,3.0,1600.0,8256.0,9855.0,0.10593628883361816
316,3.0,1700.0,8836.0,10535.0,0.12614202499389648
317,3.0,1800.0,9508.0,11307.0,0.10588479042053223
318,3.0,1900.0,10144.0,12043.0,0.11387896537780762
319,3.0,2000.0,10864.0,12863.0,0.11627507209777832
320,3.0,2100.0,11456.0,13555.0,0.1242513656616211
321,3.0,2200.0,11940.0,14139.0,0.13904118537902832
322,3.0,2300.0,12512.0,14811.0,0.14246892929077148
323,3.0,2400.0,13040.0,15439.0,0.1390998363494873
324,3.0,2500.0,13652.0,16151.0,0.15718603134155273
325,3.0,2600.0,14260.0,16859.0,0.152055025100708
326,3.0,2700.0,14840.0,17539.0,0.17176103591918945
327,3.0,2800.0,15488.0,18287.0,0.16148018836975098
328,3.0,2900.0,16120.0,19019.0,0.17981386184692383
329,3.0,3000.0,16828.0,19827.0,0.19777989387512207
